lotno,payout,totalRotaion
4001,829,2432
4002,-976,1136
4003,-644,1960
4004,215,701
4005,-376,3094
4006,-144,4188
4007,-1581,1339
4008,996,7885
4009,-2647,3518
4010,-938,3253
4011,-793,3764
4012,-255,5434
4013,-2361,4383
4014,4340,2471
4015,1452,5499
4016,-255,1991
4017,224,2153
4018,-2495,6987
4019,-1872,3506
4020,3155,90
4021,-1151,1406
4022,-257,4086
4023,331,2002
4024,-1045,2107
4025,-901,727
4026,1129,1069
4027,291,1587
4028,-1456,1649
4029,-304,862
4030,-580,1761
4031,884,1504
4032,-548,6311
4033,-890,6162
4034,-2266,4405
4035,161,4560
4036,857,6955
4037,3438,7123
4038,-2902,4529
4039,3794,5669
4040,3118,4048
4041,17001,7860
4042,-4341,10805
4043,-2933,5294
4044,-1710,9069
4045,-2722,8829
4046,5566,12229
4047,2150,10217
4048,1064,6413
4049,-4248,7982
4050,1702,10533
4051,2242,7665
4052,3990,7576
4053,682,12127
4054,-4036,8177
4055,-351,1606
4056,3330,8104
4057,950,4122
4058,1856,2427
4059,-2440,8787
4060,-1320,5038
4061,-287,3994
4062,607,4930
4063,-358,3061
4064,4529,7693
4065,934,9056
4066,3927,6578
4067,-2938,4559
4068,-1922,5927
4069,-844,3937
4070,7044,5560
4071,-454,4969
4072,-1098,3365
4073,-1379,2802
4074,-2418,2282
4075,160,4028
4076,-1528,1453
4077,359,3846
4078,-807,1340
4079,725,862
4080,181,5001
4081,-305,2611
4082,-1272,1077
4083,-257,3312
4084,338,1272
4085,-1337,2654
4086,-1496,2007
4087,-3828,2366
4088,-2982,1682
4089,-1273,1703
4090,1531,724
4091,-665,814
4092,906,987
4093,-2674,1640
4094,-711,395
4095,2421,927
4096,-2132,2652
4097,-1725,1998
4098,-474,513
4099,-2205,2942
4100,-2059,3042
4101,-562,397
4102,-1993,2571
4103,-2990,3492
4104,-1722,1607
4105,1311,1048
4106,-1527,2573
4107,327,1296
4108,-1971,2152
4109,357,464
4110,-881,584
4111,-3618,2797
4112,-772,1554
4113,-709,934
4114,-1307,1198
4115,-856,1845
4116,-893,765
4117,5306,798
4118,-473,514
4119,511,1911
4120,-353,1192
4121,1443,1192
4122,-74,1007
4123,-134,289
4124,-1308,888
4125,-578,461
4126,-711,542
4127,-860,1155
4128,-809,814
4129,-2596,2961
4130,0,-
