lotno,payout,rotation
4001,-1616,5253
4002,-1126,5599
4003,-647,4642
4004,3522,3398
4005,-1780,4752
4006,-2416,5023
4007,-675,3594
4008,-26,6926
4009,-1446,6775
4010,-156,8173
4011,-2562,6485
4012,-1496,7167
4013,679,7783
4014,-2728,7911
4015,-3870,5886
4016,74,7473
4017,1810,7454
4018,2263,6978
4019,154,6229
4020,-2810,5498
4021,6387,4258
4022,13757,3620
4023,-1886,4576
4024,533,3629
4025,-2253,5457
4026,-908,4761
4027,200,5030
4028,97,5369
4029,-1629,3407
4030,-1151,2748
4031,37,327
4032,4942,2803
4033,480,2940
4034,-2191,4924
4035,-2378,5643
4036,-2231,5791
4037,3333,3425
4038,-2634,3131
4039,1865,2151
4040,-1475,3190
4041,6380,2863
4042,1189,1824
4043,-480,867
4044,-1096,6463
4045,-1626,4133
4046,6889,5312
4047,0,-
4048,10159,3728
4049,3620,4431
4050,5339,4849
4051,1267,5242
4052,4673,5409
4053,-1638,5083
4054,-131,4142
4055,282,3958
4056,952,5486
4057,-2093,3824
4058,2403,5521
4059,373,2714
4060,-792,3674
4061,-409,3690
4062,-48,5927
4063,3646,6260
4064,-492,1227
4065,-1354,3600
4066,11511,5461
4067,762,2066
4068,-2197,3773
4069,-690,1817
4070,924,1563
4071,-2655,5816
4072,-101,2215
4073,-1720,4054
4074,-2270,4652
4075,-2138,4264
4076,1197,5031
4077,116,2151
4078,-1324,1709
4079,608,1875
4080,-2146,4658
4081,1959,5782
4082,48,4922
4083,-2816,1919
4084,-2662,5027
4085,-2372,1734
4086,-1114,3634
4087,2499,4136
4088,217,2204
4089,7042,2037
4090,-2629,1404
4091,6297,1758
4092,3740,2609
4093,-2663,3502
4094,-1546,2333
4095,1352,3326
4096,-2151,2183
4097,-1097,1664
4098,-1863,2645
4099,-2365,2314
4100,-2561,2676
4101,-544,1164
4102,9299,3222
4103,-1575,4090
4104,-3279,2280
4105,246,1405
4106,-3131,4092
4107,-1591,2849
4108,-4429,3144
4109,-3781,3590
4110,-1347,2332
4111,977,3278
4112,-5377,3204
4113,-5185,3339
4114,-1290,2123
4115,-447,2615
4116,-1604,3191
4117,-3946,3631
4118,-2133,5428
4119,7679,1627
4120,3942,3381
4121,-785,1904
4122,-508,3457
4123,-2342,2644
4124,-2229,1976
4125,-45,3929
4126,154,4716
4127,-2799,1830
4128,992,1821
4129,-2881,4544
4130,439,2773
4131,-184,2424
4132,1082,3791
4133,2211,3052
4134,-557,3176
4135,-1241,6614
4136,-2289,5105
4137,-818,2235
4138,3218,2970
4139,571,859
4140,-3497,7041
4141,942,3345
4142,-1663,2509
4143,-653,3928
4144,-1959,2841
4145,-451,4168
4146,-539,2085
4147,-2176,3007
4148,1028,4903
4149,-12,2251
4150,2815,7626
4151,-1397,3325
4152,-176,4816
4153,-291,4518
4154,-718,2825
4155,1229,4321
4156,-789,2906
4157,370,5379
4158,540,5067
4159,-1085,1941
4160,757,4842
4161,-449,5620
4162,-1054,5595
4163,275,6664
4164,-10,3946
4165,-2989,3191
4166,1894,6037
4167,1000,7134
4168,-373,1799
4169,-550,5117
4170,-132,4901
4171,3641,9458
4172,-5,3978
4173,-1278,2839
4174,-347,6375
4175,-1340,5023
4176,-1357,4963
4177,118,2821
4178,-730,3495
4179,-234,2666
4180,1325,5948
4181,-2831,6101
4182,369,3827
4183,-136,2819
4184,-2006,6364
4185,-534,1907
4186,-58,5086
4187,443,3477
4188,-191,6945
4189,1290,5561
4190,131,2441
4191,1041,6976
4192,-440,1387
4193,-107,4670
4194,-1118,1609
4195,-320,4628
4196,-895,1614
4197,286,3852
4198,312,1460
4199,-290,2732
4200,81,5959
4201,991,5168
4202,-3021,4796
4203,-104,4047
4204,-2159,7249
4205,-1402,4643
4206,-635,5250
4207,1427,7452
4208,-1194,2864
4209,-2090,5618
4210,1432,6522
4211,-287,2517
4212,-1344,4981
4213,-155,5194
4214,-1197,2183
4215,599,5349
4216,-272,7306
4217,-833,6748
4218,-1159,4564
4219,-293,3178
4220,-1601,1840
4221,-695,4753
4222,2266,4632
4223,-1464,5824
4224,6231,3478
4225,3755,5038
4226,-3091,4619
4227,1834,4346
4228,-2098,3844
4229,-1339,4830
4230,-604,3597
4231,2072,5790
4232,4535,4103
4233,-4115,4063
4234,-2637,4287
4235,-510,4194
4236,-2744,5025
4237,3565,3694
4238,5422,4186
4239,2741,4971
4240,-2100,2911
4241,7054,2717
4242,2347,4468
4243,1371,4552
4244,1315,5317
4245,5929,4585
4246,-2896,3660
4247,-2430,4404
4248,-494,3612
4249,-1639,2872
4250,-2505,3869
4251,2511,5351
4252,2738,6828
4253,-248,2363
4254,2469,7564
4255,611,4282
4256,422,2815
4257,1009,5903
4258,-998,1444
4259,871,5316
4260,281,5849
4261,-1388,5878
4262,32,6168
4263,544,6819
4264,-104,4149
4265,-585,4440
4266,-1279,5540
total,4093,1096173
