No,Payout,Rotation
4001,-1069,915
4002,-923,1878
4003,4812,416
4004,-1231,731
4005,59,1410
4006,-1334,1267
4007,404,911
4008,-826,1042
4009,-235,111
4010,-902,689
4011,8289,2464
4012,-119,53
4013,-1307,1200
4014,-208,99
4015,-1032,1062
4016,-836,1284
4017,-1371,971
4018,-4693,3020
4019,4485,8606
4020,3523,4980
4021,-939,6135
4022,-628,5052
4023,-724,1506
4024,-2980,5477
4025,704,5532
4026,734,4522
4027,1200,4982
4028,-297,1594
4029,-600,2841
4030,-1072,2471
4031,-421,2630
4032,-2081,2710
4033,-1595,1651
4034,-4591,4809
4035,-803,2294
4036,-750,567
4037,-1125,2761
4038,-159,1223
4039,-413,903
4040,2046,726
4041,1799,420
4042,-526,694
4043,-409,5010
4044,-1119,2167
4045,-1574,4360
4046,-1440,2727
4047,1876,4431
4048,-2126,6752
4049,1779,6330
4050,2488,4602
4051,-136,6175
4052,-389,6073
4053,3546,7643
4054,532,3053
4055,-56,898
4056,-502,579
4057,-139,124
4058,2819,3838
4059,45,550
4060,-602,1623
4061,-810,1113
4062,-392,791
4063,-138,828
4064,912,1854
4065,-671,713
4066,-989,1076
4067,-94,44
4068,340,1099
4069,-91,49
4070,150,1262
4071,-338,924
4072,-875,2136
4073,375,768
4074,-101,446
4075,-522,1229
4076,-360,669
4077,1530,912
4078,-948,1158
4079,-1850,2672
4080,-309,1490
4081,-297,249
4082,562,299
4083,-993,2934
4084,-1083,1724
4085,-1278,3116
4086,-1109,3097
4087,-940,631
4088,-511,1147
4089,-402,715
4090,1232,3530
4091,-471,674
4092,-87,62
4093,1761,2382
4094,-350,1341
4095,-28,2769
4096,-408,4335
4097,-786,852
4098,-1893,2823
4099,-143,72
4100,-256,183
4101,-224,145
4102,284,3140
4103,-282,1945
4104,206,2353
4105,-2609,4415
4106,-136,305
4107,251,738
4108,-315,290
4109,-355,484
4110,-1235,1642
4111,1313,4502
4112,-31,244
4113,-55,2464
4114,510,2241
4115,-407,779
4116,-468,550
4117,-20,1760
4118,900,2477
4119,-1231,1724
4120,-60,49
4121,3247,1787
4122,-252,217
4123,-283,649
4124,0,-
4125,0,-
4126,-785,842
4127,-965,3553
4128,1025,1400
4129,1581,3137
4130,-511,1393
4131,2834,384
4132,-376,762
4133,0,-
4134,494,462
4135,-1283,1511
4136,62,113
4137,1662,4008
4138,-573,1259
4139,-439,528
4140,-768,511
4141,-92,102
4142,-743,2756
4143,-248,182
4144,-1267,3866
4145,-93,140
4146,-590,1658
4147,-2005,3953
4148,-44,17
4149,-2624,5091
4150,597,5583
4151,302,2176
4152,-329,6076
4153,-259,3787
4154,-1223,1057
4155,6,2286
4156,-1331,3081
4157,-425,687
4158,-1928,3211
4159,1342,6576
4160,-976,3240
4161,-318,1698
4162,542,4661
4163,-641,3450
4164,-168,1801
4165,85,5379
4166,484,3385
4167,-1158,966
4168,350,3104
4169,966,6369
4170,915,4340
4171,-416,470
4172,1042,2598
4173,1234,4640
4174,-407,500
4175,-855,2140
4176,-199,4727
4177,-577,3920
4178,-475,1835
4179,804,3803
4180,-649,947
4181,-667,1681
4182,434,2245
4183,-514,2906
4184,-330,3081
4185,-737,2708
4186,-633,761
4187,-388,1073
4188,-45,5181
4189,-381,4392
4190,-345,982
4191,-372,3068
4192,576,1720
4193,-1325,2954
4194,1357,4610
4195,1369,4247
4196,-244,4432
4197,-797,836
4198,-27,5580
4199,-917,3210
4200,-1658,1979
4201,-784,1118
4202,67,649
4203,-986,7999
4204,359,3798
4205,1827,5849
4206,24,525
4207,1331,4895
4208,-586,2168
4209,1605,2479
4210,1620,4531
4211,-659,683
4212,-1247,1301
4213,1070,6225
4214,-108,257
4215,563,906
4216,1298,4361
4217,-39,2256
4218,-537,1164
4219,-1024,1656
4220,-1061,1403
4221,151,3400
4222,-445,370
4223,1698,5802
4224,-1859,2880
4225,3981,1773
4226,1654,2185
4227,588,655
4228,-539,2048
4229,2928,1538
4230,122,3275
4231,0,-
4232,-2374,2702
4233,2137,2878
4234,694,2992
4235,1247,2669
4236,-1952,1062
4237,-436,1634
4238,-3734,3431
4239,-3985,3051
4240,-1787,1278
4241,1932,2008
4242,-653,1065
4243,-2195,2871
4244,-126,1135
4245,-788,1239
4246,-1502,1269
4247,-1313,811
4248,2528,3086
4249,-420,330
4250,-714,595
4251,566,1045
4252,597,3187
4253,185,989
4254,-528,1611
4255,-304,6435
4256,-406,379
4257,1694,5342
4258,-109,864
4259,646,3868
4260,-461,368
4261,635,2277
4262,-1001,1080
4263,-46,4106
4264,-582,701
4265,-755,3851
4266,176,1614
total,-34234,596351
