No,Payout,Rotation,Big,Reg
4001,6056,3205,27,-
4002,-191,99,-,-
4003,447,1684,5,-
4004,333,427,2,-
4005,-1271,1916,9,-
4006,-187,102,-,-
4007,-160,507,3,-
4008,-825,568,1,-
4009,-1230,2616,13,-
4010,-309,564,3,-
4011,-45,18,-,-
4012,-2701,1474,1,-
4013,-1829,1079,1,-
4014,-328,162,-,-
4015,1244,582,8,1
4016,-724,1612,8,-
4017,-2087,1266,2,-
4018,-488,248,-,-
4019,778,3726,7,4
4020,-931,1652,4,3
4021,531,5614,16,9
4022,-1899,3473,7,6
4023,406,1394,7,1
4024,-1841,4726,17,8
4025,1657,6070,21,10
4026,264,2835,8,5
4027,-1069,1817,4,4
4028,-2187,2290,4,3
4029,-1021,1898,4,4
4030,-27,11,-,-
4031,3711,3484,11,12
4032,-744,592,1,-
4033,-1111,2790,7,7
4034,-123,118,-,-
4035,-201,119,-,-
4036,-71,435,2,1
4037,-278,1940,10,12
4038,418,396,12,2
4039,-69,799,9,1
4040,590,732,13,3
4041,-574,466,2,1
4042,-924,1477,13,4
4043,-3877,6025,35,16
4044,-3004,4002,19,9
4045,-2402,2695,15,5
4046,328,3677,27,12
4047,122,5913,42,23
4048,-2175,4791,31,16
4049,3946,5871,58,44
4050,-1577,4473,32,13
4051,-382,7960,55,39
4052,2632,5194,43,29
4053,1790,6754,61,31
4054,1527,4244,63,5
4055,219,1413,14,3
4056,-736,1176,4,1
4057,4877,2106,59,9
4058,-267,442,2,1
4059,2284,1573,34,6
4060,-461,583,3,-
4061,-347,261,-,-
4062,2669,3683,56,12
4063,-174,221,1,-
4064,-201,165,-,-
4065,-480,1205,3,-
4066,810,1389,6,-
4067,-56,1213,3,8
4068,-350,274,1,-
4069,-94,61,-,-
4070,-47,39,-,-
4071,-963,2163,9,-
4072,-456,353,1,-
4073,-645,819,3,-
4074,493,1173,20,6
4075,-119,134,-,-
4076,-1446,2200,10,6
4077,-485,573,1,1
4078,708,679,13,3
4079,-351,924,5,1
4080,-641,1492,8,1
4081,1263,1154,23,1
4082,-252,1345,14,-
4083,-1819,1365,4,-
4084,1825,3711,59,-
4085,-685,581,2,-
4086,-696,890,5,-
4087,2162,5030,24,16
4088,-522,590,-,2
4089,345,487,3,-
4090,294,1068,5,2
4091,-281,217,-,-
4092,1336,2035,9,8
4093,-375,239,-,-
4094,696,4819,17,13
4095,-1157,965,1,-
4096,-941,972,1,2
4097,759,2993,11,6
4098,896,5443,18,13
4099,-46,220,1,2
4100,248,1428,6,9
4101,-184,110,-,-
4102,-359,1483,6,8
4103,24,1151,3,4
4104,-156,91,-,-
4105,-46,24,-,-
4106,-432,3160,9,11
4107,93,1411,7,2
4108,-374,1809,4,8
4109,284,1275,5,4
4110,-433,269,-,-
4111,276,341,2,1
4112,-281,873,2,3
4113,150,1456,4,8
4114,-358,1518,2,8
4115,-577,308,-,-
4116,-187,514,1,2
4117,-457,2712,7,8
4118,-114,749,2,2
4119,-239,2321,9,8
4120,-338,1433,3,4
4121,-644,716,4,2
4122,-1602,2772,9,7
4123,5623,1206,53,1
4124,-99,603,5,2
4125,-177,731,6,3
4126,-28,15,-,-
4127,-114,618,1,7
4128,-1794,5405,20,26
4129,-378,658,3,1
4130,-1591,2183,3,3
4131,-942,1148,3,1
4132,-42,51,-,-
4133,-458,1290,7,2
4134,-328,348,-,-
4135,-406,1666,7,11
4136,-917,1195,2,3
4137,-640,2934,16,7
4138,-300,178,-,-
4139,1584,1086,7,14
4140,-1016,4527,12,12
4141,-1368,5112,33,10
4142,-362,473,2,-
4143,-164,924,10,2
4144,-925,1027,3,1
4145,-448,1722,7,6
4146,-669,748,2,2
4147,-588,3627,35,19
4148,-189,110,-,-
4149,-1233,2585,9,1
4150,-1030,2321,5,7
4151,341,4246,16,14
