No,Payout,Rotation,Big,Reg
4001,2803,2128,14,-
4002,-4013,6477,17,-
4003,-581,2322,8,-
4004,-2596,3575,10,-
4005,5005,2838,21,-
4006,-3526,3393,10,-
4007,-832,2455,15,1
4008,539,134,3,-
4009,-3584,3448,11,1
4010,-1421,2491,12,-
4011,6766,1480,31,1
4012,6699,2802,40,-
4013,2547,1414,18,1
4014,-3416,2032,2,-
4015,-1494,4886,28,1
4016,252,2239,15,1
4017,-102,1119,7,1
4018,1367,3555,28,-
4019,-977,4655,17,7
4020,5397,7187,22,9
4021,-1793,5984,16,15
4022,142,6771,23,12
4023,-3286,2910,6,5
4024,-1616,3377,6,5
4025,-1103,6439,14,19
4026,-1018,2005,3,5
4027,-813,5780,23,6
4028,-183,3522,13,4
4029,-983,1491,4,3
4030,575,4483,16,15
4031,908,2269,10,9
4032,-2257,7650,27,18
4033,-1406,1411,8,4
4034,1287,2651,41,7
4035,-2078,2007,10,3
4036,-1057,2662,27,6
4037,1100,768,19,5
4038,221,5984,55,25
4039,0,-,-,-
4040,182,598,6,2
4041,-931,1424,6,2
4042,-228,278,1,1
4043,-3596,7016,43,24
4044,-690,8120,62,36
4045,-3146,7053,49,20
4046,-4576,7715,41,18
4047,279,7915,49,30
4048,3673,7716,66,52
4049,-5354,6502,36,10
4050,-3110,6663,41,22
4051,-3203,6865,48,21
4052,2851,7145,53,37
4053,889,7123,51,30
4054,-80,4122,43,7
4055,-300,246,-,-
4056,-1512,4673,41,1
4057,1411,4813,63,7
4058,-553,578,1,-
4059,4092,1664,56,6
4060,209,1893,19,4
4061,-2698,5064,24,4
4062,-794,801,1,-
4063,3545,1626,6,-
4064,-389,871,3,-
4065,139,910,3,-
4066,-462,397,1,-
4067,-1136,2019,12,5
4068,1882,5059,29,35
4069,-98,2047,8,11
4070,-1356,3329,8,18
4071,324,4165,30,-
4072,-492,2944,18,-
4073,-510,781,3,-
4074,-1230,1928,6,4
4075,-753,1021,5,2
4076,-996,953,2,2
4077,-1205,2690,16,7
4078,-499,3121,25,4
4079,-1360,3845,22,3
4080,307,1959,22,2
4081,-1219,3939,23,3
4082,-3763,3665,14,-
4083,159,5470,63,-
4084,-1046,5811,57,-
4085,8056,2481,78,-
4086,-3194,4232,27,-
4087,-717,4152,13,10
4088,-1105,6201,18,17
4089,-1375,3415,7,12
4090,-2095,3988,7,11
4091,-440,2082,7,1
4092,414,1235,5,2
4093,-900,2370,5,8
4094,2418,7137,29,20
4095,377,2315,7,5
4096,5100,6814,35,17
4097,-1225,3132,8,4
4098,-1164,2421,5,3
4099,-15,4189,16,24
4100,-402,439,2,-
4101,189,1464,4,6
4102,-1228,1485,6,3
4103,-548,2342,6,7
4104,-541,1327,3,3
4105,-641,565,-,2
4106,302,2969,12,5
4107,-937,2715,7,6
4108,2475,5384,25,20
4109,994,7206,27,26
4110,-396,1633,5,2
4111,-1319,2057,5,2
4112,1731,6870,29,20
4113,-451,694,1,1
4114,548,3197,11,11
4115,-698,1850,4,5
4116,6546,7427,43,18
4117,513,2922,11,8
4118,-642,877,1,3
4119,2893,7000,29,11
4120,1819,2499,13,14
4121,-146,4505,27,12
4122,-7,6,-,-
4123,1746,1503,17,3
4124,-812,1496,6,1
4125,-1549,2080,7,4
4126,159,642,4,2
4127,1172,3276,6,45
4128,-729,737,-,3
4129,1415,4028,18,20
4130,-2721,6388,11,12
4131,960,3683,30,5
4132,-1054,1628,5,2
4133,690,1225,13,5
4134,-272,1192,6,3
4135,-730,4495,23,18
4136,-578,1432,12,4
4137,-1266,3394,17,5
4138,1785,590,52,7
4139,-851,2791,8,10
4140,126,5330,16,15
4141,184,1942,9,4
4142,-849,1069,4,-
4143,-108,2513,37,6
4144,-2369,4817,14,9
4145,-402,1053,3,2
4146,1283,1298,9,8
4147,-1710,3855,31,15
4148,200,4103,23,53
4149,-464,8529,26,33
4150,-719,2150,6,5
4151,2342,8846,36,30
4152,-1157,1454,2,2
4153,951,7472,30,18
4154,-633,2269,6,6
4155,2401,5301,26,18
4156,100,1922,9,-
4157,1345,3256,16,8
4158,-1245,2730,5,9
4159,-1657,3377,9,6
4160,-569,3612,13,7
4161,-1319,2512,4,10
4162,-465,6889,23,20
4163,502,5147,21,9
4164,-604,1196,2,4
4165,-911,5341,16,17
4166,-446,4111,13,11
4167,587,3313,14,9
4168,1069,2348,14,1
4169,485,3343,14,7
4170,-654,2621,7,9
4171,-1821,4199,11,7
4172,-1537,4002,11,7
4173,-840,3583,11,7
4174,707,4859,21,8
4175,-945,4776,15,10
4176,-2430,3804,7,8
4177,-790,4649,14,15
4178,-517,972,2,2
4179,-89,5588,17,21
4180,-1468,2721,6,5
4181,-1441,2617,5,7
4182,1088,2455,13,4
4183,202,1572,6,5
4184,3889,5292,30,17
4185,-253,1063,4,-
4186,-199,5064,16,18
4187,-949,2329,6,7
4188,20,5197,20,12
4189,-1020,3967,10,13
4190,2496,5047,23,22
4191,920,4099,15,19
