Lotno,Payout,Rotation,Big,Reg
4001,-1870,1574,3,-
4002,3315,1983,14,-
4003,-23,962,1,-
4004,-2554,1814,2,-
4005,-759,534,1,-
4006,-1231,990,2,-
4007,-2583,1658,3,-
4008,-2325,1314,1,-
4009,606,953,8,-
4010,-99,53,-,-
4011,7159,1043,34,3
4012,-334,160,-,-
4013,8174,1699,36,-
4014,-4797,3491,7,-
4015,-1232,1113,3,-
4016,-1537,1137,2,-
4017,1250,3356,27,-
4018,-2064,1857,6,-
4019,-2150,4029,6,5
4020,-403,3748,10,5
4021,-673,782,4,1
4022,-1918,2342,6,5
4023,-238,1853,5,3
4024,11111,7151,23,10
4025,-1337,2692,7,7
4026,-237,4348,13,7
4027,373,574,1,1
4028,4859,7655,19,16
4029,-211,202,1,-
4030,1919,4396,15,14
4031,-773,1196,3,4
4032,-135,2253,10,6
4033,-1070,3389,7,10
4034,-449,359,-,-
4035,-44,91,-,-
4036,-473,658,2,2
4037,3070,489,40,4
4038,-126,90,-,-
4039,-1540,2442,18,5
4040,-406,393,2,1
4041,-807,2668,30,10
4042,4423,759,39,2
4043,-1211,1374,9,3
4044,4403,7079,59,38
4045,-951,3567,26,15
4046,1584,6553,52,33
4047,1279,3484,31,19
4048,-1163,4677,40,17
4049,3947,7698,64,42
4050,-292,4504,33,19
4051,-3545,4672,25,8
4052,-2647,4093,26,11
4053,550,6107,57,33
4054,2910,3143,62,5
4055,-151,134,-,-
4056,-3,3711,35,6
4057,126,619,6,1
4058,-1124,1594,10,-
4059,-181,135,-,-
4060,1038,434,18,1
4061,6209,2507,79,11
4062,-1208,1101,1,-
4063,0,-,-,-
4064,0,-,-,-
4065,-830,1115,2,-
4066,-191,171,1,-
4067,248,974,8,6
4068,-15,6,-,-
4069,-9,7,-,-
4070,-1225,2044,10,5
4071,-591,799,3,-
4072,1059,372,8,-
4073,-354,712,3,-
4074,-1907,3383,18,12
4075,-675,963,2,2
4076,-583,514,1,1
4077,-1045,1388,3,3
4078,-1292,3387,23,2
4079,-277,2559,23,2
4080,-783,1474,9,1
4081,-2376,3365,11,1
4082,-1640,1462,6,-
4083,-1266,3770,31,-
4084,-2210,2638,16,-
4085,-300,586,4,-
4086,5914,3394,77,-
4087,-213,3175,10,9
4088,-125,958,3,2
4089,-375,865,2,3
4090,-733,1049,2,1
4091,1256,3249,12,13
4092,-514,454,-,1
4093,708,5179,20,15
4094,-338,261,-,-
4095,-96,1537,4,3
4096,-1315,1009,-,2
4097,-291,202,-,-
4098,325,2702,10,4
4099,0,-,-,-
4100,-1392,1158,4,-
4101,-93,242,1,1
4102,-362,627,6,1
4103,-5,1255,5,3
4104,-565,360,-,-
4105,-554,499,-,1
4106,-1366,2297,5,4
4107,194,2389,6,10
4108,-1120,3815,9,17
4109,286,955,4,4
4110,-377,325,-,1
4111,-197,1879,6,5
4112,7,1858,6,3
4113,-595,426,-,-
4114,736,1411,6,5
4115,536,4918,15,18
4116,-729,480,-,-
4117,506,960,5,1
4118,-139,240,1,-
4119,-1056,2199,9,3
4120,-358,266,-,-
4121,-1156,1943,14,4
4122,-45,19,-,-
4123,-16,294,1,1
4124,899,2824,29,10
4125,-163,162,-,-
4126,-313,329,-,-
4127,951,774,3,15
4128,2233,2944,13,36
4129,702,1149,3,8
4130,-455,1376,2,2
4131,-484,1133,6,3
4132,-518,874,1,1
4133,-448,398,1,-
4134,1105,1033,11,2
4135,-604,780,2,4
4136,336,929,9,8
4137,-738,2056,8,4
4138,0,-,-,-
4139,2457,3837,16,32
4140,-95,335,1,1
4141,0,-,-,-
4142,824,424,14,-
4143,-262,525,5,2
4144,-2143,2247,3,3
4145,1102,2484,10,15
4146,-519,1678,6,5
4147,-2265,1980,7,4
4148,123,1190,8,12
4149,-654,4027,13,9
4150,318,4014,16,11
4151,477,3200,12,12
4152,251,5757,22,13
