No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3150,4875,13,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,568,1861,7,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-377,1433,5,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,6744,1909,20,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,4321,1089,11,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,913,3799,17,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,611,2057,16,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1540,3011,15,1
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3637,3725,13,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1079,3428,25,1
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,497,4748,37,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1196,2019,19,1
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,6431,1852,34,1
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-339,2647,18,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,121,4168,28,2
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1191,1380,14,1
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,739,2992,22,1
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-9,5091,36,1
4019,魔法少女まどか☆ﾏｷﾞｶ,-3579,3790,7,4
4020,魔法少女まどか☆ﾏｷﾞｶ,-1495,1807,4,2
4021,魔法少女まどか☆ﾏｷﾞｶ,-2245,2383,4,3
4022,魔法少女まどか☆ﾏｷﾞｶ,-4954,7515,16,17
4023,魔法少女まどか☆ﾏｷﾞｶ,-3148,3755,6,8
4024,魔法少女まどか☆ﾏｷﾞｶ,8838,7708,12,18
4025,魔法少女まどか☆ﾏｷﾞｶ,-3209,2947,6,5
4026,魔法少女まどか☆ﾏｷﾞｶ,-1636,1314,3,1
4027,魔法少女まどか☆ﾏｷﾞｶ,3700,4508,21,4
4028,魔法少女まどか☆ﾏｷﾞｶ,-3965,4166,4,6
4029,魔法少女まどか☆ﾏｷﾞｶ,-313,6046,15,10
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-2002,3710,8,8
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-124,352,3,-
4032,SLOT魔法少女まどかﾏｷﾞｶ2,2150,5883,25,19
4033,SLOT魔法少女まどかﾏｷﾞｶ2,2311,7303,31,29
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-611,2917,4,8
4035,花の慶次~天を穿つ戦槍~,-27,829,4,1
4036,花の慶次~天を穿つ戦槍~,579,817,9,3
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,2867,2112,53,8
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,1316,619,19,3
4039,ﾊﾟﾁｽﾛ北斗　転生の章,-107,3515,47,14
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-3099,4011,29,10
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-2268,2471,13,5
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-5369,6753,47,16
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,4125,8214,71,49
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-3021,3608,21,9
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,6727,8222,63,41
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1601,6615,48,35
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2190,4758,32,11
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,30,5697,41,24
