No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,3059,3517,21,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-435,4656,11,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3406,4743,12,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3381,4535,9,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-5657,4432,7,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-223,5173,24,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,4942,2826,34,1
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-728,2492,14,1
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-500,2323,15,1
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,8720,2564,45,2
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-721,2353,14,1
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,11605,970,45,2
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2555,2505,9,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-305,2872,18,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3499,4695,20,1
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2706,3415,13,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-4883,4193,13,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3171,3527,12,-
4019,魔法少女まどか☆ﾏｷﾞｶ,1211,5018,9,7
4020,魔法少女まどか☆ﾏｷﾞｶ,-1893,4875,16,8
4021,魔法少女まどか☆ﾏｷﾞｶ,-2067,2867,4,4
4022,魔法少女まどか☆ﾏｷﾞｶ,896,5046,12,6
4023,魔法少女まどか☆ﾏｷﾞｶ,48,5162,16,10
4024,魔法少女まどか☆ﾏｷﾞｶ,-1819,5197,10,9
4025,魔法少女まどか☆ﾏｷﾞｶ,-1190,1946,4,3
4026,魔法少女まどか☆ﾏｷﾞｶ,-2875,3436,8,3
4027,魔法少女まどか☆ﾏｷﾞｶ,-961,4199,9,4
4028,魔法少女まどか☆ﾏｷﾞｶ,-51,3712,6,5
4029,魔法少女まどか☆ﾏｷﾞｶ,-2524,3350,3,8
4030,魔法少女まどか☆ﾏｷﾞｶ,-2384,4217,13,4
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-1003,3510,10,10
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-531,2568,12,5
4033,SLOT魔法少女まどかﾏｷﾞｶ2,2798,5571,22,16
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-499,576,2,-
4035,SLOT魔法少女まどかﾏｷﾞｶ2,3302,3021,12,11
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-1553,1911,4,3
4037,ﾘﾉ,-431,2834,16,9
4038,ﾘﾉ,-3330,2627,3,4
4039,ﾊﾟﾁｽﾛ北斗　転生の章,3756,2775,63,10
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-1255,5036,56,18
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-239,1953,23,6
4042,ﾊﾟﾁｽﾛ北斗　転生の章,3279,3621,73,17
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2894,5305,34,14
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,644,7901,60,41
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,936,7355,57,37
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1348,4190,29,15
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-632,7649,58,32
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-662,8718,69,35
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1013,7625,59,33
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2713,6132,44,20
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-656,7183,60,29
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2959,7913,57,23
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1018,8037,57,29
4054,押忍!番長3,-1183,2832,16,3
4055,押忍!番長3,1127,3182,41,7
4056,押忍!番長3,-760,1274,7,1
4057,押忍!番長3,-1064,2210,15,1
4058,押忍!番長3,-473,485,1,-
4059,押忍!番長3,3257,3271,61,11
4060,押忍!番長3,-1108,1174,3,-
4061,押忍!番長3,3443,4204,67,14
4062,押忍!番長3,-1468,1350,2,-
4063,押忍!番長3,-454,3125,27,3
4064,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-584,973,6,2
4065,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-1005,1582,6,4
4066,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-796,1518,6,5
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-1093,6854,25,35
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-562,525,1,1
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-1140,982,3,-
4070,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-1853,3987,18,11
4071,GI優駿倶楽部,855,1812,21,-
4072,GI優駿倶楽部,-999,3455,15,-
4073,GI優駿倶楽部,771,1905,21,-
4074,GI優駿倶楽部,-1164,3611,17,-
4075,地獄少女 宵伽,-607,1231,5,-
4076,地獄少女 宵伽,-340,1355,4,-
4077,地獄少女 宵伽,-537,623,2,-
4078,地獄少女 宵伽,403,591,4,-
4079,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,932,4912,56,3
4080,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-1103,2051,10,1
4081,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,916,2816,39,3
4082,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,2426,1494,38,3
4083,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-1148,3145,30,-
4084,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-975,866,4,-
4085,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-1339,3513,32,-
4086,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,486,3132,37,-
4087,ﾆｭｰﾊﾟﾙｻｰSPII,-1422,3940,10,7
4088,ﾆｭｰﾊﾟﾙｻｰSPII,-687,1395,4,2
4089,ﾆｭｰﾊﾟﾙｻｰSPII,926,3801,19,3
4090,ﾆｭｰﾊﾟﾙｻｰSPII,-621,793,1,2
4091,ﾊﾞｰｻｽ,-319,4623,16,8
4092,ﾊﾞｰｻｽ,-647,1240,3,2
4093,ﾊﾞｰｻｽ,269,4585,16,10
4094,ﾊﾞｰｻｽ,-445,3802,10,14
4095,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,-605,402,-,-
4096,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,-135,102,-,-
4097,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,-469,554,-,2
4098,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,670,3855,13,8
4099,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,1348,4724,18,39
4100,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,-186,3040,11,17
4101,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,972,3636,14,26
4102,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,2535,4317,16,26
4103,ｸﾚｱの秘宝伝 眠りの塔,1223,4529,19,12
4104,ｸﾚｱの秘宝伝 眠りの塔,-376,1612,4,5
4105,ｸﾚｱの秘宝伝 眠りの塔,412,3033,11,8
4106,押忍!番長A,925,6700,24,25
4107,押忍!番長A,-587,1951,4,8
4108,押忍!番長A,-751,2923,8,8
4109,SLOT魔法少女まどかﾏｷﾞｶA,-638,435,-,-
4110,SLOT魔法少女まどかﾏｷﾞｶA,-420,324,-,1
4111,SLOT魔法少女まどかﾏｷﾞｶA,-516,3214,9,11
4112,ﾊﾅﾋﾞ,-587,1962,5,3
4113,ﾊﾅﾋﾞ,-202,4408,17,8
4114,ﾊﾅﾋﾞ,215,5443,15,23
