lotno,payout,rotation
4001,-1377,1262
4002,-391,254
4003,-518,456
4004,-907,1565
4005,-444,348
4006,1410,1783
4007,109,320
4008,-928,1318
4009,-341,1857
4010,124,1249
4011,648,2037
4012,113,1365
4013,-865,1169
4014,-328,2341
4015,-552,1027
4016,-562,1679
4017,416,2097
4018,232,2425
4019,-132,2110
4020,1998,1439
4021,-2181,2230
4022,-141,1939
4023,-1209,2257
4024,-2169,2725
4025,-939,1793
4026,811,1796
4027,-1731,2154
4028,725,231
4029,-239,182
4030,-1303,1186
4031,-273,1047
4032,-789,1260
4033,-288,514
4034,-31,2468
4035,-1004,1257
4036,-1941,2618
4037,0,-
4038,363,325
4039,-453,510
4040,-5,143
4041,-638,383
4042,-506,696
4043,234,126
4044,-125,287
4045,67,1996
4046,-401,2051
4047,-1505,2070
4048,236,1951
4049,-678,2112
4050,496,2025
4051,-156,1420
4052,1701,1334
4053,63,1763
4054,230,821
4055,-545,1023
4056,-246,1154
4057,0,-
4058,-923,1177
4059,-431,268
4060,-253,186
4061,-338,555
4062,-188,145
4063,-403,1502
4064,-241,840
4065,235,657
4066,0,-
4067,-300,1552
4068,-2137,1825
4069,683,369
4070,-1143,959
4071,-534,1144
4072,-284,183
4073,-122,100
4074,-2110,2006
4075,-381,358
4076,151,361
4077,130,480
4078,0,-
4079,-380,499
4080,-217,140
4081,-271,1588
4082,72,42
4083,-1369,1915
4084,-586,462
4085,571,522
4086,-402,2463
4087,-51,22
4088,-64,39
4089,-3454,2312
4090,-75,37
4091,-248,115
4092,-666,480
4093,-431,229
4094,-411,525
4095,28,422
4096,-21,13
4097,-136,265
4098,-252,256
4099,-60,31
4100,-377,223
4101,-49,27
4102,-347,206
4103,-1460,1174
4104,-1354,1370
4105,0,-
4106,0,-
4107,-1810,1169
4108,-145,87
4109,-309,170
4110,-140,69
4111,747,709
4112,-190,86
4113,-116,70
4114,-138,57
4115,-56,29
4116,30,266
4117,-1916,1196
4118,0,-
4119,0,-
4120,0,-
4121,0,-
4122,-1134,1197
4123,-40,22
4124,225,79
4125,168,106
4126,-179,117
4127,0,-
4128,0,-
4129,0,-
4130,-200,104
4131,-719,611
4132,605,615
4133,-1416,1974
4134,-14,12
4135,0,-
4136,-1269,1928
4137,-224,388
4138,-1266,1570
4139,1178,892
4140,-186,178
4141,-144,96
4142,-1295,1314
4143,-425,422
4144,-143,92
4145,-954,1669
4146,-855,1622
4147,-660,661
4148,632,1520
4149,-485,434
4150,-271,1213
4151,-283,456
4152,-216,503
4153,936,1497
4154,-661,535
4155,35,780
4156,607,1414
4157,-438,1453
4158,26,443
4159,-384,246
4160,4,510
4161,-631,418
4162,-587,545
4163,-172,104
4164,259,1675
4165,718,709
4166,-131,91
4167,0,-
4168,1717,2305
4169,591,342
4170,-336,202
4171,-267,581
4172,-269,348
4173,-350,439
4174,0,-
4175,2239,2503
4176,-163,105
4177,-47,30
4178,-177,200
4179,-336,307
4180,-144,79
4181,-147,108
4182,-125,100
4183,-477,788
4184,-393,257
4185,-258,189
4186,-95,419
4187,339,1024
4188,-139,76
4189,-297,164
4190,-48,24
4191,-179,437
4192,-183,137
4193,-343,300
4194,-197,144
4195,-221,381
4196,0,-
4197,24,1422
4198,-201,222
4199,-120,87
4200,189,699
4201,-327,586
4202,-64,354
4203,2292,2477
4204,-720,813
4205,-1096,696
4206,415,2185
4207,-244,386
4208,480,1213
4209,-145,698
4210,-46,1001
4211,-246,594
4212,436,1521
4213,-652,534
4214,-94,65
4215,1247,2279
4216,209,164
4217,675,1388
4218,-779,1667
4219,446,1039
4220,-50,269
4221,-192,595
4222,-596,1320
4223,-149,353
4224,-257,206
4225,-907,633
4226,-178,86
4227,-467,215
4228,-152,67
4229,-222,102
4230,-1537,1481
4231,-70,210
4232,-191,85
4233,-518,564
4234,-126,64
4235,-625,736
4236,-337,154
4237,-193,90
4238,-439,643
4239,1003,623
4240,-235,108
4241,-337,155
4242,-218,104
4243,308,370
4244,-1371,1329
4245,1449,702
4246,-178,86
4247,242,398
4248,-299,246
4249,-378,184
4250,-1405,1224
4251,-1002,452
4252,1067,1476
4253,-237,141
4254,511,1141
4255,-335,205
4256,-78,2118
4257,-336,241
4258,-303,200
4259,-600,1465
4260,293,718
4261,-623,419
4262,-582,1110
4263,-883,1571
4264,-394,256
4265,-114,1318
4266,-169,1590
total,-62532,202017
